,id,datetime,obs_dt,phone_number,arrival_hydrophone,relative_depth,depth,max_amp,second_hydrophone,t1,t2,origin_time
0,0,18093.916508518505,2019-07-16T21:59:46.188000Z,3,h3,-0.8749999999999858,169.125,0.781146309768158,h4,0.197,0.238,2019-07-16T21:59:46.188500Z
1,1,18093.91808261573,2019-07-16T22:02:02.191000Z,3,h3,1.4210854715202004e-14,170.0,0.5877120590329179,h4,0.198,0.238,2019-07-16T22:02:02.191000Z
2,2,18093.918321631932,2019-07-16T22:02:22.840000Z,3,h3,1.4210854715202004e-14,170.0,0.8184913253634523,h4,0.198,0.238,2019-07-16T22:02:22.840000Z
3,3,18093.91833340277,2019-07-16T22:02:23.835000Z,3,h3,1.4210854715202004e-14,170.0,0.3652167178009901,h4,0.2,0.24,2019-07-16T22:02:23.835000Z
4,4,18093.918813321747,2019-07-16T22:03:05.323000Z,3,h3,1.4210854715202004e-14,170.0,0.5624961853854973,h4,0.2,0.24,2019-07-16T22:03:05.323000Z
5,5,18093.919942939803,2019-07-16T22:04:42.922000Z,3,h3,-119.875,50.125,1.0777814387764175,h4,0.061,0.238,2019-07-16T22:04:42.990500Z
6,6,18093.919942916655,2019-07-16T22:04:43.151000Z,3,h3,56.0,226.0,0.6686186266729217,h4,0.028,0.004,2019-07-16T22:04:43.119000Z
7,7,18093.9199495486,2019-07-16T22:04:43.473000Z,3,h3,0.8750000000000213,170.87500000000003,1.0932090850893026,h4,0.198,0.237,2019-07-16T22:04:43.472500Z
8,8,18093.920546145822,2019-07-16T22:05:35.042000Z,3,h3,0.8750000000000213,170.87500000000003,1.237795468261567,h4,0.2,0.239,2019-07-16T22:05:35.041500Z
9,9,18093.92054995369,2019-07-16T22:05:35.714000Z,3,h3,-3.500000000000007,166.5,1.3280367589307387,h4,0.19,0.234,2019-07-16T22:05:35.716000Z
10,10,18093.920850300914,2019-07-16T22:06:01.302000Z,3,h3,3.5000000000000213,173.50000000000003,1.3443212043613268,h4,0.2,0.236,2019-07-16T22:06:01.300000Z
11,11,18093.920853958323,2019-07-16T22:06:01.621000Z,3,h3,4.3749999999999964,174.375,0.7580181294543109,h4,0.198,0.233,2019-07-16T22:06:01.618500Z
12,12,18093.920864502303,2019-07-16T22:06:02.551000Z,3,h3,3.5000000000000213,173.50000000000003,1.73062473389426,h4,0.2,0.236,2019-07-16T22:06:02.549000Z
13,13,18093.920886550914,2019-07-16T22:06:04.457000Z,3,h3,4.375000000000021,174.37500000000003,0.5780385693208716,h4,0.2,0.235,2019-07-16T22:06:04.454500Z
14,14,18093.920912384245,2019-07-16T22:06:07.027000Z,3,h3,3.4999999999999964,173.5,0.6537518873300432,h4,0.198,0.234,2019-07-16T22:06:07.025000Z
15,15,18093.920939340263,2019-07-16T22:06:08.960000Z,3,h3,4.375000000000021,174.37500000000003,0.6702240530221378,h4,0.2,0.235,2019-07-16T22:06:08.957500Z
16,16,18093.921571909712,2019-07-16T22:07:03.681000Z,3,h3,10.500000000000004,180.5,0.3297976860988469,h4,0.198,0.226,2019-07-16T22:07:03.675000Z
17,17,18093.92174224536,2019-07-16T22:07:18.489000Z,3,h3,10.500000000000004,180.5,0.3848583391089073,h4,0.198,0.226,2019-07-16T22:07:18.483000Z
18,18,18093.9217763773,2019-07-16T22:07:21.348000Z,3,h3,12.250000000000004,182.25,0.5523772758284595,h4,0.198,0.224,2019-07-16T22:07:21.341000Z
19,19,18093.921808368043,2019-07-16T22:07:24.127000Z,3,h3,13.125000000000004,183.125,0.3611913857845757,h4,0.198,0.223,2019-07-16T22:07:24.119500Z
20,20,18093.921922407397,2019-07-16T22:07:33.946000Z,3,h3,14.875000000000007,184.875,0.5643077918157683,h4,0.199,0.222,2019-07-16T22:07:33.937500Z
21,21,18093.921982268508,2019-07-16T22:07:39.119000Z,3,h3,14.875000000000007,184.875,0.603829572358774,h4,0.199,0.222,2019-07-16T22:07:39.110500Z
22,22,18093.922575046283,2019-07-16T22:08:30.364000Z,3,h3,21.000000000000014,191.0,0.2807685663008238,h4,0.192,0.208,2019-07-16T22:08:30.352000Z
23,23,18093.92358028934,2019-07-16T22:09:57.229000Z,3,h3,28.875000000000018,198.87500000000003,0.7682720038518852,h4,0.198,0.205,2019-07-16T22:09:57.212500Z
24,24,18093.92398939814,2019-07-16T22:10:32.598000Z,3,h3,33.25,203.25,0.6080285609508627,h4,0.198,0.2,2019-07-16T22:10:32.579000Z
25,25,18093.924238946747,2019-07-16T22:10:54.164000Z,3,h3,35.0,205.0,0.6354987092242377,h4,0.199,0.199,2019-07-16T22:10:54.144000Z
26,26,18093.92528462962,2019-07-16T22:12:24.519000Z,3,h3,44.62500000000001,214.625,0.3820804296284164,h4,0.198,0.187,2019-07-16T22:12:24.493500Z
27,27,18093.92576701388,2019-07-16T22:13:06.204000Z,3,h3,49.000000000000014,219.0,0.7458274871738546,h4,0.199,0.183,2019-07-16T22:13:06.176000Z
28,28,18093.926480324066,2019-07-16T22:14:07.845000Z,3,h3,55.125000000000014,225.125,0.8075066309288501,h4,0.198,0.175,2019-07-16T22:14:07.813500Z
29,29,18093.927408333322,2019-07-16T22:15:28.032000Z,3,h3,65.625,235.625,0.490381189791353,h4,0.2,0.165,2019-07-16T22:15:27.994500Z
30,30,18093.93099437499,2019-07-16T22:20:37.918000Z,3,h3,35.0,205.0,0.1574431730845346,h4,0.196,0.196,2019-07-16T22:20:37.898000Z
31,31,18093.930996956005,2019-07-16T22:20:38.138000Z,3,h3,35.0,205.0,0.34684723037222154,h4,0.199,0.199,2019-07-16T22:20:38.118000Z
32,32,18093.940240844895,2019-07-16T22:33:56.636000Z,3,h3,1.4210854715202004e-14,170.0,0.818811255195186,h4,0.197,0.237,2019-07-16T22:33:56.636000Z
33,33,18093.940248935174,2019-07-16T22:33:57.357000Z,3,h3,-0.8749999999999858,169.125,0.6326859200726818,h4,0.197,0.238,2019-07-16T22:33:57.357500Z
34,34,18093.94067511573,2019-07-16T22:34:34.513000Z,3,h3,195.125,365.125,0.6103527900847233,h4,0.2,0.017,2019-07-16T22:34:34.401500Z
35,35,18093.940987256934,2019-07-16T22:35:01.300000Z,3,h3,35.0,205.0,0.7739126243871054,h4,0.199,0.199,2019-07-16T22:35:01.280000Z
36,36,18093.947697523137,2019-07-16T22:44:40.898000Z,3,h3,1.4210854715202004e-14,170.0,1.3374729601311746,h4,0.198,0.238,2019-07-16T22:44:40.898000Z
37,37,18093.94770476851,2019-07-16T22:44:41.545000Z,3,h3,1.4210854715202004e-14,170.0,0.44434928516422223,h4,0.2,0.24,2019-07-16T22:44:41.545000Z
38,38,18093.947711249988,2019-07-16T22:44:42.083000Z,3,h3,0.8750000000000213,170.87500000000003,0.7427510132297512,h4,0.199,0.238,2019-07-16T22:44:42.082500Z
39,39,18093.947729328695,2019-07-16T22:44:43.667000Z,3,h3,1.4210854715202004e-14,170.0,0.5340436603170591,h4,0.2,0.24,2019-07-16T22:44:43.667000Z
40,40,18093.947743935172,2019-07-16T22:44:44.929000Z,3,h3,1.4210854715202004e-14,170.0,3.7197879116532633,h4,0.2,0.24,2019-07-16T22:44:44.929000Z
41,41,18093.947749143503,2019-07-16T22:44:45.327000Z,3,h3,151.375,321.375,0.5427830357395951,h4,0.2,0.067,2019-07-16T22:44:45.240500Z
42,42,18093.947755659712,2019-07-16T22:44:45.942000Z,3,h3,1.4210854715202004e-14,170.0,1.2259487845231196,h4,0.2,0.24,2019-07-16T22:44:45.942000Z
43,43,18093.947760671286,2019-07-16T22:44:46.354000Z,3,h3,1.4210854715202004e-14,170.0,0.9670450043753118,h4,0.198,0.238,2019-07-16T22:44:46.354000Z
44,44,18093.94776040508,2019-07-16T22:44:46.653000Z,3,h3,1.4210854715202004e-14,170.0,0.7590298516237806,h4,0.2,0.24,2019-07-16T22:44:46.653000Z
45,45,18093.94777565971,2019-07-16T22:44:47.670000Z,3,h3,1.4210854715202004e-14,170.0,0.7093567234330362,h4,0.2,0.24,2019-07-16T22:44:47.670000Z
46,46,18093.947779305545,2019-07-16T22:44:47.985000Z,3,h3,1.7500000000000213,171.75000000000003,1.229565296704839,h4,0.2,0.238,2019-07-16T22:44:47.984000Z
47,47,18093.947779305545,2019-07-16T22:44:48.102000Z,3,h3,0.8750000000000071,170.875,1.229565296704839,h4,0.082,0.121,2019-07-16T22:44:48.101500Z
48,48,18093.947784641194,2019-07-16T22:44:48.423000Z,3,h3,1.4210854715202004e-14,170.0,1.2534611441116175,h4,0.2,0.24,2019-07-16T22:44:48.423000Z
49,49,18093.94778906249,2019-07-16T22:44:48.828000Z,3,h3,1.4210854715202004e-14,170.0,0.5349678955817307,h4,0.2,0.24,2019-07-16T22:44:48.828000Z
50,50,18093.947808657394,2019-07-16T22:44:50.521000Z,3,h3,1.4210854715202004e-14,170.0,1.1324021076238102,h4,0.2,0.24,2019-07-16T22:44:50.521000Z
51,51,18093.947820462952,2019-07-16T22:44:51.541000Z,3,h3,1.4210854715202004e-14,170.0,0.5532504344257023,h4,0.2,0.24,2019-07-16T22:44:51.541000Z
52,52,18093.94783562499,2019-07-16T22:44:52.851000Z,3,h3,1.4210854715202004e-14,170.0,0.48483585856694156,h4,0.2,0.24,2019-07-16T22:44:52.851000Z
53,53,18093.947839837954,2019-07-16T22:44:53.193000Z,3,h3,1.4210854715202004e-14,170.0,0.7886815138383351,h4,0.2,0.24,2019-07-16T22:44:53.193000Z
54,54,18093.947843541657,2019-07-16T22:44:53.513000Z,3,h3,1.4210854715202004e-14,170.0,1.1395776809374032,h4,0.2,0.24,2019-07-16T22:44:53.513000Z
55,55,18093.947847523137,2019-07-16T22:44:53.857000Z,3,h3,1.7500000000000213,171.75000000000003,1.3289339991729283,h4,0.2,0.238,2019-07-16T22:44:53.856000Z
56,56,18093.947847268508,2019-07-16T22:44:53.947000Z,3,h3,0.8750000000000071,170.875,1.3289339991729283,h4,0.109,0.148,2019-07-16T22:44:53.946500Z
57,57,18093.9478520486,2019-07-16T22:44:54.270000Z,3,h3,0.8750000000000213,170.87500000000003,1.6174821571033522,h4,0.199,0.238,2019-07-16T22:44:54.269500Z
58,58,18093.94785531249,2019-07-16T22:44:54.552000Z,3,h3,1.4210854715202004e-14,170.0,1.5916435862958662,h4,0.2,0.24,2019-07-16T22:44:54.552000Z
59,59,18093.947860335637,2019-07-16T22:44:54.988000Z,3,h3,0.8750000000000213,170.87500000000003,0.7036378397831564,h4,0.199,0.238,2019-07-16T22:44:54.987500Z
60,60,18093.947864270824,2019-07-16T22:44:55.326000Z,3,h3,1.4210854715202004e-14,170.0,0.7226074205861024,h4,0.2,0.24,2019-07-16T22:44:55.326000Z
61,61,18093.947872118046,2019-07-16T22:44:55.982000Z,3,h3,1.4210854715202004e-14,170.0,0.8826521730506602,h4,0.2,0.24,2019-07-16T22:44:55.982000Z
