depth,origin_time,swarm_number
275.0,2019-05-21T07:38:17.744000Z,1
171.75,2019-05-21T07:38:42.922000Z,1
179.625,2019-05-21T07:38:43.766500Z,1
170.875,2019-05-21T07:38:57.606500Z,1
170.875,2019-05-21T07:39:00.925500Z,1
275.0,2019-05-21T07:39:01.623000Z,1
205.0,2019-05-21T07:39:01.714000Z,1
346.75,2019-05-21T07:39:08.185000Z,1
170.0,2019-05-21T07:39:09.679000Z,1
171.75,2019-05-21T07:39:10.891000Z,1
171.75,2019-05-21T07:39:12.163000Z,1
170.875,2019-05-21T07:39:14.697500Z,1
170.875,2019-05-21T07:39:15.250500Z,1
171.75,2019-05-21T07:39:15.789000Z,1
170.0,2019-05-21T07:39:16.093000Z,1
171.75,2019-05-21T07:39:16.641000Z,1
171.75,2019-05-21T07:39:17.173000Z,1
170.875,2019-05-21T07:39:19.524500Z,1
170.875,2019-05-21T07:39:22.690500Z,1
170.0,2019-05-21T07:39:44.842000Z,1
170.875,2019-05-21T07:39:45.503500Z,1
170.0,2019-05-21T07:39:46.316000Z,1
185.75,2019-05-21T07:39:46.375000Z,1
170.875,2019-05-21T07:40:19.373500Z,1
170.875,2019-05-21T07:40:19.927500Z,1
171.75,2019-05-21T07:40:20.608000Z,1
167.375,2019-05-21T07:40:21.231500Z,1
171.75,2019-05-21T07:40:26.929000Z,1
170.0,2019-05-21T07:40:28.751000Z,1
174.375,2019-05-21T07:40:30.691500Z,1
171.75,2019-05-21T07:40:35.670000Z,1
170.875,2019-05-21T07:40:36.212500Z,1
178.75,2019-05-21T07:40:37.914000Z,1
171.75,2019-05-21T07:40:39.145000Z,1
171.75,2019-05-21T07:40:39.800000Z,1
172.625,2019-05-21T07:40:41.322500Z,1
163.875,2019-05-21T07:40:45.245500Z,1
172.625,2019-05-21T07:40:46.644500Z,1
172.625,2019-05-21T07:40:47.252500Z,1
171.75,2019-05-21T07:40:48.138000Z,1
172.625,2019-05-21T07:40:49.224500Z,1
172.625,2019-05-21T07:40:50.043500Z,1
172.625,2019-05-21T07:40:50.804500Z,1
205.0,2019-05-21T07:40:52.528000Z,1
192.75,2019-05-21T07:40:53.569000Z,1
174.375,2019-05-21T07:40:54.230500Z,1
174.375,2019-05-21T07:41:23.386500Z,1
175.25,2019-05-21T07:41:27.507000Z,1
176.125,2019-05-21T07:41:49.607500Z,1
205.0,2019-05-21T07:41:51.529000Z,1
177.0,2019-05-21T07:41:53.927000Z,1
177.0,2019-05-21T07:41:55.466000Z,1
175.25,2019-05-21T07:41:56.801000Z,1
177.0,2019-05-21T07:41:57.458000Z,1
176.125,2019-05-21T07:42:11.136500Z,1
177.875,2019-05-21T07:42:12.555500Z,1
178.75,2019-05-21T07:42:23.403000Z,1
178.75,2019-05-21T07:42:25.341000Z,1
