Depth,Acq. Time,Pick Time,Flow
m, ,s,Gal./min.
1.13538,07/05/2017 16:03:06,0.95,0.490107
25.9914,07/05/2017 16:29:01,36.5,-0.00867469
25.9914,07/05/2017 16:30:05,32.65,-0.00971469
25.9918,07/05/2017 16:23:30,45.9475,-0.00686984
26.5158,07/05/2017 16:44:05,33.2,0.00728303
26.9953,07/05/2017 17:22:28,27.65,0.00879277
26.9953,07/05/2017 17:23:14,26.25,0.0092778
27.0013,07/05/2017 17:00:12,38.35,0.00628191
27.0013,07/05/2017 17:00:57,28.3,0.00858439
27.0013,07/05/2017 17:01:46,24.75,0.00986051
27.0013,07/05/2017 17:02:31,27.05,0.00899429
27.2508,07/05/2017 17:17:02,6.2,-0.0548019
27.2508,07/05/2017 17:17:46,6.35,-0.0534036
27.2508,07/05/2017 17:18:29,6.9,-0.0488323
27.2508,07/05/2017 17:19:14,6.1,-0.0557752
27.495,07/05/2017 17:09:34,6.55,-0.0516461
27.495,07/05/2017 17:11:26,5.85,-0.0583658
27.495,07/05/2017 17:13:07,5.45,-0.0630474
27.495,07/05/2017 17:13:56,6.2,-0.0548019
27.7509,07/05/2017 17:32:52,4.15,-0.0851914
27.751,07/05/2017 17:31:08,4.3,-0.0818817
27.751,07/05/2017 17:32:04,4.75,-0.0733227
27.7512,07/05/2017 17:30:24,4.15,-0.0851914
27.8514,07/05/2017 17:35:50,36.55,0.00659897
27.8514,07/05/2017 17:36:57,24.9,0.00979897
27.8514,07/05/2017 17:37:42,33.5,0.00721605
27.999,07/05/2017 17:26:22,0.8,0.636002
27.999,07/05/2017 17:27:07,25.6,0.00952164
27.9991,07/05/2017 17:27:52,0.3,-2.96037
27.9992,07/05/2017 17:28:58,26.75,0.00909855
28.5045,07/05/2017 17:42:02,27.4,0.00887563
28.5045,07/05/2017 17:42:50,25.95,0.00938877
28.5045,07/05/2017 17:43:36,22.75,0.0107615
28.9992,07/05/2017 17:45:04,1.95,-0.205405
28.9995,07/05/2017 17:45:49,1.95,-0.205405
28.9995,07/05/2017 17:46:35,1.9,-0.212038
28.9995,07/05/2017 17:47:20,1.9,-0.212038
28.9995,07/05/2017 17:48:07,1.95,-0.205405
30.005,07/05/2017 17:49:24,1.6,-0.262457
30.005,07/05/2017 17:50:09,1.45,-0.297316
30.005,07/05/2017 17:50:53,1.5,-0.284756
30.005,07/05/2017 17:51:36,1.45,-0.297316
30.18,07/05/2017 16:32:42,1.35,-0.325881
30.18,07/05/2017 16:33:43,0.9,-0.559959
30.1801,07/05/2017 16:34:30,0.9,-0.559959
30.1801,07/05/2017 16:35:19,0.9,-0.559959
30.1801,07/05/2017 16:36:05,0.85,-0.60619
30.9997,07/05/2017 17:52:49,2.35,-0.164021
