arrival_hydrophone,init_arrival_time
h3,18093.916506805555
h3,18093.91808091435
h3,18093.918319907407
h3,18093.91833142361
h3,18093.918811608797
h3,18093.919941226854
h3,18093.919943877314
h3,18093.919947604165
h3,18093.920544467594
h3,18093.92055224537
h3,18093.920848402777
h3,18093.920852094907
h3,18093.920862858795
h3,18093.92088491898
h3,18093.92091466435
h3,18093.920937037037
h3,18093.921570381943
h3,18093.921741770835
h3,18093.92177486111
h3,18093.921807025465
h3,18093.921920671295
h3,18093.921980543982
h3,18093.922573657408
h3,18093.92357903935
h3,18093.923988402777
h3,18093.92423800926
h3,18093.925283784723
h3,18093.92576625
h3,18093.9264796875
h3,18093.927407777777
h3,18093.930994421295
h3,18093.930996967592
h3,18093.94023884259
h3,18093.9402471875
h3,18093.940677233797
h3,18093.940987268517
h3,18093.947695578703
h3,18093.94770306713
h3,18093.94770929398
h3,18093.947727627314
h3,18093.947742233795
h3,18093.947746840277
h3,18093.947753958335
h3,18093.947758726852
h3,18093.9477621875
h3,18093.947773958334
h3,18093.947777604168
h3,18093.947778958332
h3,18093.94778267361
h3,18093.94778736111
h3,18093.947806956017
h3,18093.947818761575
h3,18093.947833923612
h3,18093.947837881944
h3,18093.947841585647
h3,18093.94784556713
h3,18093.947846608797
h3,18093.947850347224
h3,18093.947853611113
h3,18093.947858657408
h3,18093.947862569443
h3,18093.947870162036
h3,18093.947885243055
h3,18093.94788945602
h3,18093.947895717592
h3,18093.947903530094
h3,18093.947918680555
h3,18093.947922708332
h3,18093.947926041667
h3,18093.947941747687
h3,18093.947967118056
h3,18093.94798287037
h3,18093.947995219907
h3,18093.94799928241
h3,18093.94800417824
h3,18093.94800693287
h3,18093.948371608796
h3,18093.948375949076
h3,18093.948377627315
h3,18093.948381516202
h3,18093.948385
h3,18093.94838875
h3,18093.948393240742
h3,18093.948397962962
h3,18093.94840309028
h3,18093.94840744213
h3,18093.948408506945
h3,18093.94881759259
h3,18093.94881851852
h3,18093.94881989583
h3,18093.948826608797
h3,18093.948830358797
h3,18093.948834444443
h3,18093.948838449072
h3,18093.948839976852
h3,18093.9488584375
h3,18093.948882685185
h3,18093.94889070602
h3,18093.948894965277
h3,18093.948899363426
h3,18093.948900243056
h3,18093.94890207176
h3,18093.948903159722
h3,18093.948906064816
h3,18093.94893150463
h3,18093.948936782406
h3,18093.948943101852
h3,18093.94894724537
h3,18093.94895224537
h3,18093.948958055556
h3,18093.948959085646
h3,18093.948963692128
h3,18093.948968055556
h3,18093.948969016205
h3,18093.94897196759
h3,18093.948976377316
h3,18093.948981261576
h3,18093.948987881944
h3,18093.948993275462
h3,18093.948997604166
h3,18093.948998483796
h3,18093.949002152778
h3,18093.949003020833
h3,18093.94906667824
h3,18093.949077939815
h3,18093.949081782408
h3,18093.949094421296
h3,18093.949102430557
h3,18093.949139907407
h3,18093.94914239583
h3,18093.94914983796
h3,18093.94915474537
h3,18093.9492096875
h3,18093.949211180556
h3,18093.949218078702
h3,18093.94937295139
h3,18093.94938712963
h3,18093.949524108797
h3,18093.949526597222
h3,18093.949529814814
h3,18093.949743703703
h3,18093.94975207176
h3,18093.95011107639
h3,18093.950133854167
h3,18093.950136481482
h3,18093.950139537035
h3,18093.950157534724
h3,18093.95050511574
h3,18093.950509733797
h3,18093.95070082176
h3,18093.950712280093
h3,18093.95071847222
h3,18093.95072636574
h3,18093.950782152777
h3,18093.950790972223
h3,18093.950798206017
h3,18093.950803333333
h3,18093.95080763889
h3,18093.95082587963
h3,18093.950838391203
h3,18093.950851180554
h3,18093.950877488427
h3,18093.951209328705
h3,18093.95121466435
h3,18093.95121648148
h3,18093.951219583334
h3,18093.95122287037
h3,18093.951316226852
h3,18093.95135434028
h3,18093.95135818287
h3,18093.95138306713
h3,18093.951389155092
h3,18093.9513934375
h3,18093.951399108795
h3,18093.951404583335
h3,18093.951409247686
h3,18093.951410266203
h3,18093.951413726852
h3,18093.951417638888
h3,18093.95142241898
h3,18093.95142614583
h3,18093.951435497685
h3,18093.951438043983
h3,18093.95144859954
h3,18093.951451805555
h3,18093.951466597224
h3,18093.951478738425
h3,18093.951483599536
h3,18093.951515729168
h3,18093.951530219907
h3,18093.95153523148
